slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via search locator 'site:moh.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,F352D92B0A97F0F49E1E1A8631E831BC2601FE2CC201734798EB4CAD374378F9,YES
MINISTRY-02,MINISTRY,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
MINISTRY-03,MINISTRY,OUT_OF_SCOPE,"Acquired document 'DOI: 10.31276/VJST.2026.3884 RFO-HITL: Kiến trúc tác ...' covers general AI readiness and social value, out of scope for Vietnam healthcare AI governance slot definition.",https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,NONE,YES
MINISTRY-04,MINISTRY,OUT_OF_SCOPE,"Acquired document 'DOI: 10.31276/VJST.2026.3884 RFO-HITL: Kiến trúc tác ...' is an education AI agent architecture paper (RFO-HITL for instructors), out of scope for health AI governance.",https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,NONE,YES
INTL-01,INTL,OUT_OF_SCOPE,"Acquired page 'Giới thiệu về WHO tại Việt Nam' from https://www.who.int/vietnam/vi/about is an organizational landing page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/about,NONE,YES
INTL-02,INTL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Dồn tổng lực về đích loại trừ sốt rét tại Việt Nam' from https://www.who.int/vietnam/vi/news/feature-stories/item/viet-nam-mobilizes-forces-to-push-towards-malaria-elimination is an organizational landing/commentary page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/news/feature-stories/item/viet-nam-mobilizes-forces-to-push-towards-malaria-elimination,NONE,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122 via search locator 'site:soyte.danang.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,4E4C966855372F785BDB29C35B1D7D8E057DBE7EFB059735992EBB47BED8DAD3,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx via search locator 'site:medinet.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,08F9E000382DF0566EEDA444DBE60C07D5E70B45D90B22F73C7E90C807225C4B,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba via search locator 'site:bachmai.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,20156623E0554859C31457CA6B35E92FE38569D0B4DF93C94A1DB250DE316A70,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi via search locator 'site:vinmec.com trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
