channel_id,domain,query_id,position,source_url,title_from_search,description_from_search,status
MOH,moh.gov.vn,DQ-IMPL-01,1,https://moh.gov.vn/index.jsp?pageId=5803&aid=156765&cid=7262,Trí tuệ nhân tạo và tương lai hệ thống Y tế Việt Nam,"Thứ sáu, phát triển nguồn nhân lực y tế số và năng lực quản trị AI. Cần đổi mới đào tạo y khoa theo hướng tích hợp kiến thức về dữ liệu, AI và chuyển đổi số ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,2,https://moh.gov.vn/index.jsp?pageId=5803&aid=156486&cid=8335,Bộ trưởng Đào Hồng Lan: Đổi mới tư duy để ...,"... quản trị AI phải được đặt đúng vị trí. Cần đổi mới đào tạo y khoa theo hướng tích hợp kiến thức dữ liệu, AI và chuyển đổi số. Đồng thời, đào ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,3,https://moh.gov.vn/index.jsp?pageId=5803&aid=167780&cid=8641,"Kết luận của Tổng Bí thư, Chủ tịch nước tại cuộc họp cho ...","Chiến lược quy hoạch kế hoạch · Hợp tác quốc tế · Tuyên truyền ... quản trị AI, già hóa dân số, văn hóa, con người, biến đổi khí hậu và ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,4,https://moh.gov.vn/index.jsp?pageId=5803&aid=168200&cid=8641,Báo chí cách mạng Việt Nam trong thời đại số,"... đạo đức AI và tuân thủ pháp luật về sở hữu trí tuệ. Tổng Bí thư ... dụng AI có trách nhiệm. Đồng thời, kỷ cương báo chí phải được giữ ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,5,https://adminmoh.moh.gov.vn/web/guest/hoat-dong-cua-lanh-dao-bo?p_p_id=101_INSTANCE_TW6LTp1ZtwaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=row-0-column-2&p_p_col_count=2&_101_INSTANCE_TW6LTp1ZtwaN_delta=20&_101_INSTANCE_TW6LTp1ZtwaN_keywords=&_101_INSTANCE_TW6LTp1ZtwaN_advancedSearch=false&_101_INSTANCE_TW6LTp1ZtwaN_andOperator=true&p_r_p_564233524_resetCur=false&_101_INSTANCE_TW6LTp1ZtwaN_cur=28,Hoạt động của lãnh đạo bộ - Cổng thông tin Bộ Y tế,"Thứ trưởng Thường trực Bộ Y tế Vũ Mạnh Hà: Hợp tác chiến lược tiến tới định hình khung quản trị AI y tế toàn cầu, lấy con người làm trung tâm. Thứ Bẩy, ngày ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,6,https://moh.gov.vn/index.jsp?pageId=5801&cid=7262,Cổng thông tin Bộ Y tế,"... quản trị AI y tế toàn cầu, lấy con người làm trung tâm. 25/10/2025 12:34 AM ... Kế hoạch triển khai thi hành ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,7,https://vimda.moh.gov.vn/documents/10182/71386576/upload_00001117_1753855581100.pdf?version=1.0&fileId=71409563,MEGA PULSE TOWER 30+ - Thiết bị phẫu thuật với laser ...,Bất kỳ ai có trách nhiệm kết hợp sản phẩm theo một hệ thống đều phải đảm bảo rằng các tính năng hoạt động và các yêu cầu an toàn không bị ...,DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-01,8,https://moh.gov.vn/index.jsp?pageId=5801&cid=8351,Cổng thông tin Bộ Y tế,"... quản trị AI y tế toàn cầu, lấy con người làm trung tâm. 25/10/2025 12:34 AM. Thứ trưởng Bộ Y ...",DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-02,1,https://moh.gov.vn/index.jsp?pageId=5803&aid=156765&cid=7262,Trí tuệ nhân tạo và tương lai hệ thống Y tế Việt Nam,... bệnh viện và nâng cao chất lượng y tế cơ sở. Mỗi ứng dụng phải đi kèm đánh ... quản trị AI. Cần đổi mới đào tạo y khoa theo hướng tích hợp kiến thức về ...,DISCOVERED_UNSCREENED
MOH,moh.gov.vn,DQ-IMPL-02,2,https://adminmoh.moh.gov.vn/web/guest/hoat-dong-cua-lanh-dao-bo?p_p_id=101_INSTANCE_TW6LTp1ZtwaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=row-0-column-2&p_p_col_count=2&_101_INSTANCE_TW6LTp1ZtwaN_delta=20&_101_INSTANCE_TW6LTp1ZtwaN_keywords=&_101_INSTANCE_TW6LTp1ZtwaN_advancedSearch=false&_101_INSTANCE_TW6LTp1ZtwaN_andOperator=true&p_r_p_564233524_resetCur=false&_101_INSTANCE_TW6LTp1ZtwaN_cur=28,Hoạt động của lãnh đạo bộ - Cổng thông tin Bộ Y tế,AI vào cuộc: Tăng cơ hội phát hiện sớm ung thư phổi · Các chi phí khám chữa bệnh được BHYT chi trả · Phát hiện nhiều ca mắc viêm não mô cầu: Bộ Y tế đề nghị đảm ...,DISCOVERED_UNSCREENED
