portal,query_id,locked_query_or_graph_target,page,requested_url,method,retrieval_utc,http_status,transport,api_error,reported_total,returned_count,raw_file,bytes,sha256,run_status,stopping_rule_assessment
GOV-VB_UI_BACKEND,DQ-LAW-01,"""134/2025/QH15""",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q01-p01.json,161,525bd68ce6b1a9422441552e4bee123caf95514e5e12cd9420c31de64694c379,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-LAW-02,"""Luật Trí tuệ nhân tạo"" AND (y tế OR ""người bệnh"" OR bệnh viện)",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q02-p01.json,230,bc3d87036e2d1417e9e13645b1c6c856200a6472d87f9e10e2f22b9c7a3f721d,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-DEC-01,"""142/2026/NĐ-CP""",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q03-p01.json,163,777651956a35f2504a444a20093404cd1dde27b60b0b5cbfbbf161dc013ea892,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-FRAME-01,"""05/2026/TT-BKHCN""",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q04-p01.json,164,6811b21168738a49c06e421064693872babf8f9073502959992f8eb8f8c7d60b,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-FRAME-02,"""Khung đạo đức trí tuệ nhân tạo quốc gia"" AND (y tế OR bệnh viện OR ""khám chữa bệnh"")",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q05-p01.json,258,4d5e3420d17475a65c1d906b892ce3f53a230a20ffefcec484332d28f8b6b83c,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-REL-01,"(""134/2025/QH15"" OR ""142/2026/NĐ-CP"" OR ""05/2026/TT-BKHCN"") AND (sửa đổi OR thay thế OR hướng dẫn OR triển khai)",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q06-p01.json,277,fdb87a659415433d72ce42096afeccf40080fb430243369468e2b1d865a5a253,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-COUNCIL-NAME-01,"""Hội đồng đạo đức AI quốc gia""",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q07-p01.json,189,f62b5222642c754a493e8bfc4948d36ab2fb35929e84f4dadc94f32efd299037,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-COUNCIL-NAME-02,"""Hội đồng đạo đức trí tuệ nhân tạo quốc gia""",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q08-p01.json,209,5a0d1f6c415c37ec3ac4754eb02f57333f88613bf891e6b392e82e35d41b8ea9,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-COUNCIL-NAME-03,"""Ủy ban đạo đức AI quốc gia""",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q09-p01.json,184,778ed8699358b0fb4e1a30e819c50d40316664e654e99c7242589c879e2fa9ac,FAIL_CLOSED,FAILED_API_RESPONSE
GOV-VB_UI_BACKEND,DQ-COUNCIL-NAME-04,"""National AI Ethics Council"" Vietnam",1,https://timkiem.chinhphu.vn/Home/search,POST,2026-07-31T14:20:04.522578+00:00,200,OK,Unable to connect to the remote server,0,0,raw/gov-q10-p01.json,182,dde72803b3212076ba5f9da4caf0fed642b74cbe85073fd3d66618f413e61e15,FAIL_CLOSED,FAILED_API_RESPONSE
