slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via search locator 'site:moh.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,A182FED42E5666574D2926567EA538B187484F66E00A3716377789A85241360B,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/ via search locator 'site:moh.gov.vn giám sát đánh giá AI y tế' (DQ-IMPL-05),https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,4C03F3E4F2AFD8D6E7555A93F0E67C6FDD82A5C1746B89FA69708D2BF08A78E7,YES
MINISTRY-03,MINISTRY,OUT_OF_SCOPE,"Acquired document 'DOI: 10.31276/VJST.2026.3884 RFO-HITL: Kiến trúc tác ...' covers general AI readiness and social value, out of scope for Vietnam healthcare AI governance slot definition.",https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,NONE,YES
MINISTRY-04,MINISTRY,OUT_OF_SCOPE,"Acquired document 'DOI: 10.31276/VJST.2026.3884 RFO-HITL: Kiến trúc tác ...' is an education AI agent architecture paper (RFO-HITL for instructors), out of scope for health AI governance.",https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,NONE,YES
INTL-01,INTL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.who.int/vietnam/vi/about via search locator 'site:www.who.int/vietnam khung đạo đức AI y tế Việt Nam' (DQ-EVID-04),https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,YES
INTL-02,INTL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Đã đến lúc phải hành động quyết liệt hơn để làm sạch ...' from https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health is an organizational landing/commentary page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health,NONE,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122 via search locator 'site:soyte.danang.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,A28CB522626DD5DDB0A89F3AC2A197F4B8DA9746F745F22C115E1B3FE85FE810,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx via search locator 'site:medinet.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,E86A2A7D76150539688CAAED31DD7ACEF523CCC42E680DE536D96519983DC656,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba via search locator 'site:bachmai.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,00596E2AA961585FE93958E6AEAF5162733A75B2D0560DCC08DCCE45037BB7A8,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi via search locator 'site:vinmec.com trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
